rnum,id,title,cont,udate,hits,likes,hname,dname,rcount
1,xman,치과후기1,"
치과 과잉진료 받게 될까봐 모두닥이랑 블로그등 볼 수있는 후기들은 다 찾아본 후 양심진료하시고 모두 친절하시다는 후기가 좋아서 전화로 예약 후에 방문했습니다.
예약하고도 오래 기다리셨다는 몇몇 후기를 봤는데 저는 체크사항 작성 후 얼마 있지 않아 바로 들어갔어요!
치아 부분에 통증이 있어서 간거였지만 오랜만에 치과 방문하는거라 전반적으로 검진 받고 싶다고 체크했는데 치아 하나 하나 봐주시고 앞으로 지켜봐야 할 치아와 치료 순서를 알려주셔서 좋았어요~
통증이 충치 때문이 아니라 생활습관 때문이였는데 왜 아픈지 원인을 찾아 주셨고 통증의 원인이 될 수 있는 습관들과 개선해야 할 부분들을 말씀해 주신점도 좋았습니다!
병원이 바빠 보이긴 했지만 궁금한 점 여쭤보면 자세하게 설명해주며 이해시켜 주셨어요~ 선생님도 재치있으시고 모두 친절하십니다! :)
",2022-07-29,0,10,강서발산플란트치과의원,강가경,0
2,member,치과후기2,"
앞전에 갔던병원에서 별로 좋지않은 경험이있어 병원을 옮겼습니다
역이랑 가까운편이라 좋았어요
요즘 치과들이랑다르게 화려한인테리어는아니고 의사분도 한분이십니다

저는 앞전치과도 양심적이라는 리뷰를 보고 찾았고 그때진료결과 충치두개를 치료해야한다는 말을 들었기에
충치치료를 당연히 하겠거니 하고
예약후 방문하였습니다.

그런데 이병원에서는 두군데 모두 충치치료가전혀 필요없다고 하셔서 정말놀랐습니다.
그이유에대해서는 의사선생님께서
치아사진과함께 매우친절하고 이해하기쉽게 설명해주십니다.

그리고 이때까지 턱관절이불편해서 다른치과를 방문할때마다 항상 여쭤봤는데 특별한말없이 그냥 조심해라 이것뿐이였는데 여기서는 하나하나 저의생활습과가 여러가지원인을 예를 들며 향후 치료방법이나 더악화되지않게 설명을 잘해주셔서 정말도움이 많이되었어요 !

그렇게 충치치료는 할필요가 없어 하지않고
사랑니 2개 뽑아야할게있어 다음예약을 잡아두었습니다. 사랑니뽑고 다시후기남길께요!

기본진료.마우스피스9만원
",2019-08-12,0,9.3,연세해맑은치과교정과치과의원,고경교,0
3,member2,치과후기3,"
정말 친절하게 단계별로 나누어서 충치부터 각종 필요한 치료를 알려줘요
설명도 길게 친절하게 해주시고 과잉진료도 없는거같아서 좋아요 다음에 여기서 치료받으려고 예약 다시 잡았어요 추천입니다
",2022-06-29,0,9.3,선릉애플치과의원,공고기,0
4,xman,치과후기4,"
우와.. 인생 치과를 만났어요!
사실 모두닥 리뷰 많고 과잉 진료 없다고 하는 것도 광고 아닐까 걱정하면서 병원 예약했거든요ㅜ 근데 진료 받고 나니 왜 후기가 많은지 이해가 단번에 되더라구요 ㅋㅋ

이 시려운 현상 때문에 충치가 심하게 있을까해서 가게 된건데
엑스레이 찍고 봐주시더니 충치때문은 아니고 가벼운 현상(?)이라고 다행이라면서 치료 해주셨어요.
그 외에도 제 치아 상태에 대해서 자세하게 설명 해주시고, 치아 관리 어떤게 중요한건지 왜 중요한건지 설명해주셔서 강의 듣고 온 기분이네요 ㅎㅎ

사실 같은 부위 똑같은 이 시려운 것 때문에 작년에 다른 치과를 간 적이 있었는데, 뭘 씌워야한다 하면서 백만원 치료비용 들 뻔 한 걸 며칠지나니 괜찮아져서 치료 안받았었는데..
정말 과잉 진료 없이 치료받고 왔어요!!!
000
",2022-06-15,0,10,빛치과의원,곽교나,0
5,member,치과후기5,"
원장님 너무 친철하시고 성격 진짜 좋으세요 진료 받다가 나까지 기분좋아져요 과잉진료 안하시고 진짜 필요한것만 하고 하나하나 친철히 다 알려주세요 그래서 예약하기 조금 힘들긴하지만 그만한 가치가 있어요
",2022-05-14,0,10,이미지치과의원,구규늘,0
6,member2,치과후기6,"
제가 리뷰 보고 찾아갔는데 소문대로 진짜 과잉진료 없이 솔직하게 잘봐주셨어요!! 다른 곳에서는 신경치료까지 해야된다는걸 여기서는 정말 간단한 치료만 하면 된다고 얘기해주셨어요! 진짜 그런 부분이 너무 좋아서 앞으로 치과 진료는 여기서만 보려구요!!
",2022-03-17,0,9.3,더드림치과의원,권근당,0
7,xman,치과후기7,"
급성치수염으로 방문했어요
염증이 너무 심해 잠도 못자고 약을 계속 먹어도 낫지 않아 집 근처 병원에서는 발치해야한다며 3일 뒤로 예약을 잡아주더라구요 당장 죽겠는데 3일을 참지 못할꺼 같아
지인 추천으로 이미지 치과를 방문했는데 원장님께서 제.엑스레이 사진을 보고 어떻게 견뎠냐며 ..눕지도 못했을꺼라며 제 마음을 잘 알아주셨어요
바로 발치하고 이후에 생길수 있는데 상황들에 대해서도 잘 설명해주셨고 발치가 너무 잘 되어서 이후 문제점 전혀 없었습니다 진짜.넘. 감사했습니다
",2022-05-27,0,10,서울새린치과의원,김기란,0
8,member,치과후기8,"
충치가 있어서 간단히 진료 보러 갔었어요 ! 친절하시고 여기서 진료 보고 원래 보던 곳 갔는데 진료?가 똑같이 나왔어요 ! 과잉진료 없다는 말 듣고 방문 한 거였는데 과잉진료 없었던 것 같아요. 당시에는 직장 근처라서 진료만 보고 치료는 받지 않았지만 친절하시고 좋았습니다 :)
",2022-04-28,0,10,나온치과의원,나김래,0
9,member2,치과후기9,"
마취의 신이십니다 !!
어렸을때 아팠던 기억이 있어서 너무 무서웠는데 마취를 진짜 안아프게 잘해주세요 여러개 치료받을까 고민했는데 지금 해야할 것과 앞으로 하면 될것을 구분해주셔서 좋았어요
",2022-03-30,0,10,튼튼플란트치과의원,남나련,0
10,xman,치과후기10,"
카카오맵 리뷰로 강남 치과들 다 훑어보고 갔는데 대부분이 평점 광고를 쓰시더라구요.. ㅎㅎ 사실 여기도 쓰는 것 같았습니다. 그럼에도 불구하고 모두닥에서도 리뷰가 괜찮았고 예약도 항상 꽉 차있는 것 같아서 일단 믿고 방문했습니다. 큰 시술은 아니었지만 의사선생님 굉장히 친절하셨고 빠르게 잘 해주셨습니다
",2022-02-16,0,9.5,청량리왕플란트치과의원,노다령,0
