title,likes,comm,uid,udate
비상선언 ,1,쓸데없는 반일 반미 한가득에 초딩도 어이없어할 신파극 덩어리 속편은 북한에 비행기 착륙시킬듯 하네요이게 한줄평이고 나만죽을수 없어 10점 주려다가 정상 평점 줍니다대체 배우진들은 이 영화 뭘보고 고른건가요?믿고보는 송강호 이병헌 임시완 배우님인줄 알았는데 역대 최악수준의 영화는 함정카드로 고르신건지요 신고,smar****,22.08.23
헌트 ,10,진짜 개 재밌음 배우분들 연기 진짜 대박이에요! 신고,fdge****,22.08.23
외계+인 1부 ,2,배경음악이 영상하고 너무 따로노는것 같음 나이드신 감독님이 하셨나CG는 훌륭하지만 내용도 그렇고 어린이전대물 보는느낌 신고,ksb3****,22.08.23
탑건: 매버릭 ,10,지렸습니다..추천함 신고,seng****,22.08.23
헌트 ,9,"정말 잘 만든, 세련된, 그리고 잘생긴, 첩보물! 신고",khj9****,22.08.23
한산: 용의 출현 ,6,한국어 억양에 일본어도 어색했지만.. 아무리 이순신 장군이고 전술이 좋고 거북선이 있다 지만... 그래도 전쟁 중인데... 너무 평온한 거 아닙니까.... ㅜㅜ 국뽕..? 좋아요... 그래도 영환데... 뭔가 펑펑펑 둥둥둥 소리만 듣다가 영화 끝난 느낌이에요... 일본군들이 대사가 더 많았던 거 같은데... 기분 탓이겠죠... 이순신 장군 대사가 제일 없는 듯... 기대를 너무 하고 봤나봐요.. 네..ㅜ 신고,orol****,22.08.23
한산: 용의 출현 ,6,한국어 억양에 일본어도 어색했지만.. 아무리 이순신 장군이고 전술이 좋고 거북선이 있다 지만... 그래도 전쟁 중인데... 너무 평온한 거 아닙니까.... ㅜㅜ 국뽕..? 좋아요... 그래도 영환데... 뭔가 펑펑펑 둥둥둥 소리만 듣다가 영화 끝난 느낌이에요... 일본군들이 대사가 더 많았던 거 같은데... 기분 탓이겠죠... 이순신 장군 대사가 제일 없는 듯... 기대를 너무 하고 봤나봐요.. 네..ㅜ 신고,orol****,22.08.23
탑건: 매버릭 ,10,톰크루즈의 풋풋했던 탑건도 다시 찾아보기 신고,ital****,22.08.23
토르: 러브 앤 썬더 ,1,한국인들의 정서에 안 맞는 외국 개그의 향연으로 영화의 몰입도를 떨어뜨림.스토리 전개는 왜 이따구인지 모르겠음.[토르]라는 IP만을 믿고 만든 3류영화. 신고,bar0****,22.08.23
비상선언 ,2,"이 좋은 배우들 데리고.. 스토리는 엉망, 신파 신고",ann1****,22.08.23
이보다 더 좋을 순 없다 ,10,'나'를 극복하니 또다른 나를 얻게 되었다. 신고,roor****,22.08.23
헌트 ,10,생각했던거보단 재미있었던거같아요 신고,kkss****,22.08.23
공기살인 ,10,잊지...말자.... 신고,endd****,22.08.23
미니언즈2 ,10,신고,miju****,22.08.23
사라진 시간 ,7,넷플릭스 - 데이비드 린치의 로스트 하이웨이가 생각났다. 신고,wu20****,22.08.23
놉 ,1,세상...허무한 이야기 감독 한법찾아가서 때려야하는데... 신고,xogn****,22.08.23
한산: 용의 출현 ,6,국뽕 좋다 이거야. 근데 이순신장군을 너무 우려먹는거 아닌가? 전반부 1시간은 날려도 됐을거 같은데.. 후속작 노량해전은 안 볼거 같다. 국뽕 두사발 먹긴 싫다. 짱개 국뽕 영화 나올때 욕 드럽게 했는데 이게 뭐냐. 애국심도 적당히 해야지. 애국심으로 돈장사 하나? 신고,star****,22.08.23
7년의 밤 ,5,넷플릭스 - 좋은 원작을 별로인 시나리오가 망쳤다. 그래도 송새벽은 연기 잘 했다. 신고,wu20****,22.08.23
헌트 ,10,진짜 처음부터 끝까지 꿀잼임 .... 신고,hali****,22.08.23
헌트 ,10,'목표'가 같다가도 '입장'의 차이로 행동이 달라질 수 밖에 없었던 역사적 아이러니.하지만 중요한 것은 '목표'는 같았다는 것이다. 신고,roor****,22.08.23
외계+인 1부 ,10,"대박입니다.연출,캐스팅,연기의 조화가 절묘합니다.2편 기대됩니다. 신고",bbsh****,22.08.23
마녀(魔女) Part2. The Other One ,8,"1편보다는 스토리가 못하고, 마녀가 너무 강하니 긴장감이 없다 신고",sang****,22.08.23
놉 ,9,우리나라 사람으로서 공감하기 힘든 코드 많아서 그렇지 이런 평점을 받을 만한 영화가 아니라고 생각함. 이해와 선호의 차이 신고,royn****,22.08.23
한산: 용의 출현 ,10,신고,pupp****,22.08.23
비상선언 ,1,뭐 이딴 영화가.... 신고,funu****,22.08.23
비상선언 ,10,펑펑 울었네요많은 생각하게 합니다.역시 믿고보는 배우들이네요 신고,kys8****,22.08.23
헤어질 결심 ,10,긴장감 있게 봤어요.연출이 최고입니다. 신고,amse****,22.08.23
카터 ,6,액션 영화 좋아하고 영화 보기전에 잔인하다는 거 예상은 했는데..목욕탕씬부터 눈쌀 찌푸려진ㅠ 액션은 쩔고 주원 개고생했는데 스토리 아쉽고 보조적인 배우들 연기가 어색하고 잔인한 장면만 나와서 중간에 중지..유튜브에서 영화 리뷰로 봤네요.ㅠ 신고,volt****,22.08.23
한산: 용의 출현 ,10,신고,mrkd****,22.08.23
탑건: 매버릭 ,10,신고,2058****,22.08.23
외계+인 1부 ,1,유치한 쓰레기 졸작 영화. 출연하는 연기자들 조차도 개봉전에 이미 이 영화가 망할것을 알고 있었다. 뭐 영화를 이끄는 주연급 배우 아니면 대충 돈만 챙기면 되는거지머.. 이딴 쓰레기 영화를 3부까지 계획중이라고? 투자자가 미쳤거나 돈이 썩어 나거나 둘중 하나라고 확신한다. 신고,hong****,22.08.23
외계+인 1부 ,2,와 이건 머 3류 짜장영화도 아니고 류준열 주연감은 아닌듯 연기 겁나 못하네 ....감독은 이거 찍으면서 망했다. 생각 했겠는데 ㅋ 신고,9710****,22.08.23
헌트 ,8,입봉작이지만 흥미진진 신고,jisu****,22.08.23
놉 ,8,신고,k458****,22.08.23
헌트 ,6,대체 언제까지 울궈먹을껀가... 간첩이 나라를 살려? 신고,anam****,22.08.23
비상선언 ,1,마지막30분은 안본걸로 했으면 좋겠다 신고,18cb****,22.08.23
애덤 프로젝트 ,10,아따 꼬마 액션등장씬 지기누ㅋㅋ라이언레이놀즈 나오는건 믿고봄 재밌음 신고,qncj****,22.08.23
모어 ,10,직관적인 아름다움과 수평적인 감동이 있어 피로감이 없는 영화. 자극적인 소재라 생각하고 꺼내들었다가 마치 탄탄한 고전을 본듯한 빈틈도 없지만 강요도 없는 꽉채워진 철학과 감동. 리프레쉬와 영감을 찾고 있다면 꼭 보시길! 신고,haya****,22.08.23
외계+인 1부 ,8,연출만 조금더...아주 쬐끔만더...잘 했더라면..배우들이야 뭐 전부 자기들몪은 했는데 감독이 너무 자기몪을 못했네..그래도 배우들봐서 평점8...이상! 신고,khsk****,22.08.23
놉 ,9,일단 뻔한 한국영화들사이에서 창의적이고 세련된연출이 돋보임^^조던필 오래오래 영화해주세요 신고,hayo****,22.08.23
탑건: 매버릭 ,10,그냥 진짜 무조건 보세요 신고,han0****,22.08.23
풀타임 ,7,"프랑스 교통파업시기, 싱글맘의 간사한 이직 성공담 신고",real****,22.08.23
헌트 ,8,나쁘지않게 봤음 신고,tkdd****,22.08.23
살롱 키티 ,8,게르만 나치의 힘과 야성을 혐오와 매혹이 뒤섞인 시선으로 관찰하는 이탈리아 영화. 신고,pont****,22.08.23
헌트 ,10,진짜 말이 필요없다!! 역사의 흐름 신고,revi****,22.08.23
아수라 ,10,신고,dkak****,22.08.23
리얼 ,10,음식을 시켰는데 주방장이 식재료를 다먹고 똥을 내놓는 격… 신고,skin****,22.08.23
한산: 용의 출현 ,10,개인적으로 오늘 내 최고의영화가 됐음연기 영상 연출 어느것하나 빠짐없이너무 감동적이고 최고입니다 신고,xxxx****,22.08.23
모어 ,10,신고,leej****,22.08.23
